survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,female,52,1,0,78.2667,First,D,Cherbourg,n
0,male,47,0,0,7.25,Third,unknown,Southampton,y
0,female,28,0,2,7.75,Third,unknown,Queenstown,n
0,male,37,1,0,26,Second,unknown,Southampton,n
0,male,36,1,1,24.15,Third,unknown,Southampton,n
1,female,28,0,0,33,Second,unknown,Southampton,y
0,male,49,0,0,0,Third,unknown,Southampton,y
0,male,28,0,0,7.225,Third,unknown,Cherbourg,y
1,male,49,1,0,56.9292,First,A,Cherbourg,n
1,male,35,0,0,26.55,First,unknown,Cherbourg,y
0,male,36,1,0,15.55,Third,unknown,Southampton,n
0,male,30,0,0,7.8958,Third,unknown,Southampton,y
1,male,27,0,0,30.5,First,unknown,Southampton,y
1,female,22,1,2,41.5792,Second,unknown,Cherbourg,n
1,female,40,0,0,153.4625,First,C,Southampton,y
0,female,39,1,5,31.275,Third,unknown,Southampton,n
0,male,28,0,0,7.05,Third,unknown,Southampton,y
1,female,28,1,0,15.5,Third,unknown,Queenstown,n
0,male,35,0,0,8.05,Third,unknown,Southampton,y
1,female,24,1,2,65,Second,unknown,Southampton,n
0,male,34,1,1,14.4,Third,unknown,Southampton,n
0,male,26,0,0,10.5,Second,unknown,Southampton,y
1,male,20,1,1,15.7417,Third,unknown,Cherbourg,n
0,male,61,0,0,32.3208,First,D,Southampton,y
0,male,57,0,0,12.35,Second,unknown,Queenstown,y
1,female,21,0,0,77.9583,First,D,Southampton,y
0,male,26,0,0,7.8958,Third,unknown,Southampton,y
0,male,28,0,0,7.7333,Third,unknown,Queenstown,y
1,male,80,0,0,30,First,A,Southampton,y
0,male,51,0,0,7.0542,Third,unknown,Southampton,y
1,male,32,0,0,30.5,First,B,Cherbourg,y
0,female,9,3,2,27.9,Third,unknown,Southampton,n
1,female,28,0,0,13,Second,unknown,Southampton,y
0,male,32,0,0,7.925,Third,unknown,Southampton,y
0,female,41,0,5,39.6875,Third,unknown,Southampton,n
0,male,28,1,0,16.1,Third,unknown,Southampton,n
0,male,20,0,0,7.8542,Third,unknown,Southampton,y
1,male,28,0,0,56.4958,Third,unknown,Southampton,y
1,female,0.75,2,1,19.2583,Third,unknown,Cherbourg,n
1,male,48,1,0,76.7292,First,D,Cherbourg,n
0,male,28,0,0,7.55,Third,unknown,Southampton,y
1,female,23,0,0,7.55,Third,unknown,Southampton,y
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
1,female,18,0,1,23,Second,unknown,Southampton,n
0,male,21,0,0,8.4333,Third,unknown,Southampton,y
0,male,24,2,0,73.5,Second,unknown,Southampton,n
0,male,28,0,0,7.8958,Third,unknown,Southampton,y
0,female,32,1,1,15.5,Third,unknown,Queenstown,n
1,male,50,2,0,133.65,First,unknown,Southampton,n
0,male,47,0,0,25.5875,First,E,Southampton,y
0,male,36,0,0,7.4958,Third,unknown,Southampton,y
1,male,20,1,0,7.925,Third,unknown,Southampton,n
0,male,25,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,7.775,Third,unknown,Southampton,y
0,male,43,0,0,8.05,Third,unknown,Southampton,y
1,female,40,1,1,39,Second,unknown,Southampton,n
0,male,31,1,0,52,First,B,Southampton,n
1,male,31,0,0,13,Second,unknown,Southampton,y
0,male,28,0,0,0,Second,unknown,Southampton,y
0,male,18,0,0,7.775,Third,unknown,Southampton,y
1,female,18,0,0,9.8417,Third,unknown,Southampton,y
1,male,36,0,1,512.3292,First,B,Cherbourg,n
1,male,27,0,0,76.7292,First,D,Cherbourg,y
0,male,20,0,0,9.225,Third,unknown,Southampton,y
0,male,14,5,2,46.9,Third,unknown,Southampton,n
0,male,60,1,1,39,Second,unknown,Southampton,n
0,male,19,0,0,10.1708,Third,unknown,Southampton,y
0,male,18,0,0,7.7958,Third,unknown,Southampton,y
1,female,15,0,1,211.3375,First,B,Southampton,n
1,male,31,1,0,57,First,B,Southampton,n
1,female,4,0,1,13.4167,Third,unknown,Cherbourg,n
1,male,28,0,0,56.4958,Third,unknown,Southampton,y
0,male,60,0,0,26.55,First,unknown,Southampton,y
1,female,28,0,0,7.7333,Third,unknown,Queenstown,y
0,male,49,1,1,110.8833,First,C,Cherbourg,n
1,male,35,0,0,26.2875,First,E,Southampton,y
0,male,25,0,0,7.7417,Third,unknown,Queenstown,y
0,male,39,0,0,26,Second,unknown,Southampton,y
1,female,22,0,0,151.55,First,unknown,Southampton,y
