Folio,Incumplimiento,Estudiante,Saldo,Ingreso
305,No,Yes,979.2244246329,26010.8878031666
306,No,Yes,847.8187062531,15978.633625651
307,No,No,781.7712847631,50958.7905135708
308,No,Yes,402.488886826,15904.0559208087
309,No,No,204.7401817146,17534.2905392742
310,No,Yes,2022.6746432423,18336.74316845
311,No,No,748.937063784,44186.6177602638
312,No,No,838.2756877524,35917.4906102388
313,No,No,386.0160492908,44694.0309570293
314,No,No,812.3992965256,49623.1009820914
315,No,Yes,1809.9265643936,6985.1359453954
316,No,No,0,30360.5489438194
317,No,Yes,1328.1838041191,24688.4737209337
318,No,Yes,1464.936048827,26716.6863746825
319,No,No,1200.5651376474,39718.6926569602
320,No,No,989.6864199644,27856.5770606696
321,No,No,870.7345799258,35539.2702158304
322,No,Yes,1200.847390016,19849.8314129485
323,No,Yes,1428.8320473614,23204.6814610386
324,No,No,0,33951.2887259244
325,No,Yes,359.4588665376,21783.2694913357
326,No,No,265.6839497867,40862.7540056257
327,No,No,1027.770531692,44406.83691434
328,No,No,729.0474334976,35042.1329969977
329,No,No,1042.8049199139,25867.1477168844
330,No,No,230.2305878988,37875.614823143
331,No,No,367.4660121832,30611.2722706897
332,No,Yes,737.7053539413,20863.7996686999
333,No,No,18.2612853635,30349.460422935
334,No,No,1257.7602088919,30834.7713682736
335,No,No,455.5215132063,40907.3983537652
336,No,No,56.9675603505,35458.4815614207
337,No,Yes,723.9319852997,12213.0371368412
338,No,No,612.3831576774,41379.7678082606
339,No,Yes,1220.1776056907,15308.1270712607
340,No,No,1222.3476917141,32363.3710505847
341,No,No,1165.491138147,47684.2194497489
342,Yes,No,1642.8199966383,46856.947039092
343,No,No,944.1735600178,56088.6837995041
344,No,No,749.6080039007,41423.9411731786
345,No,No,370.3751867777,31231.0078371514
346,Yes,No,1991.649120113,42133.3731759574
347,No,No,773.9152265769,44562.3381169342
348,No,Yes,817.2498112624,20480.88705606
349,No,No,1060.7162196767,50260.4643659169
350,Yes,No,1550.4492644132,56273.5136083638
351,No,Yes,454.4669622129,15092.439307714
352,No,Yes,1256.2393254151,17784.5589437522
353,No,No,1484.3953929752,36731.3086949029
354,No,Yes,1050.4773279325,12661.6116309912
355,No,No,986.4006189264,45430.4722089423
356,No,No,717.3419269517,44266.3765401792
357,No,No,692.1432226816,47038.0903196941
358,Yes,No,1328.8927252178,34710.0623657107
359,No,No,673.4681910561,32930.0693612804
360,No,No,218.6392970431,48991.3953793342
361,No,No,1218.1669658237,43954.2774856976
362,No,Yes,13.5168025504,19322.5450270524
363,No,Yes,531.4786998501,21726.558972624
364,No,No,165.5381516952,33436.4557377411
365,No,Yes,1351.849722333,25890.5039884998
366,No,No,107.2820830496,54143.9627498165
367,No,No,947.1935713804,35604.117192781
368,No,Yes,434.5602592261,14812.6452403767
369,No,No,1020.0672404887,37458.8792492482
370,No,No,662.3053180223,31597.8976165624
371,No,Yes,754.420612921,20767.6830202616
372,No,No,289.4895756934,44412.8951033074
373,No,No,198.0384092297,36270.9381202214
374,No,Yes,516.0604916766,16615.0219627607
375,No,No,697.5638089898,41755.3981466578
376,No,Yes,502.3247834678,16947.4229346552
377,No,Yes,1459.6870830452,15575.419233378
378,No,No,716.9987226893,34418.2602228491
379,No,Yes,1037.9727050178,18324.0300568905
380,No,No,673.0161171961,29735.9615970911
381,No,No,371.9217847013,41099.7724418194
382,No,No,89.1349579572,55604.6075315396
383,No,No,1273.2801810591,40895.2827703241
384,No,No,600.7233029674,18680.516769028
385,No,No,905.0381646368,40711.7988982471
386,No,No,1061.4415621445,54437.0103173027
387,No,No,1672.6392483048,46334.7877633441
388,No,Yes,883.7026456003,19750.0940028726
389,No,No,373.780330004,53936.2417769944
390,No,No,1287.7951869379,52382.6647043692
391,No,No,1229.742571479,48739.9273906526
392,No,Yes,510.6138469543,22457.0517475138
393,No,No,775.6301687168,27205.8573938823
394,No,No,1152.9828868866,50206.5769341592
395,No,Yes,1303.6625897017,7986.0003358345
396,No,No,1675.2788517321,28244.5034750868
397,No,No,398.2777330446,30001.7950602906
398,No,Yes,739.9017593968,25023.8738564122
399,No,No,226.417696514,32018.7136305149
400,No,No,1217.3217121342,25173.6196080491
401,No,No,639.8205582492,29902.0019867792
402,No,Yes,883.1669768803,12717.4922312992
403,No,No,2.287610953,38186.5242727915
404,No,No,419.6373476659,55967.9931672653
405,No,Yes,1544.1402498683,11102.5347437309
406,No,No,1101.015017952,32153.0135926701
407,Yes,No,1700.5999134866,30488.9834104565
408,No,No,311.8245868681,48301.0596601046
409,No,No,442.8302222527,55074.1308290001
410,No,No,728.8149600612,17909.5810715927
411,No,No,278.8779025201,37188.6683650846
412,No,No,758.7023275345,36625.9895523394
413,No,No,620.3396794394,22803.7410338396
414,No,Yes,1890.1674114753,18402.4648845956
415,No,No,0,28951.4518951572
416,No,Yes,1329.198842216,23184.0155485336
417,No,No,1075.8637723748,44128.6282564037
418,No,No,618.5275092228,54956.9905446621
419,No,No,1111.0865758202,27466.8936820065
420,No,No,864.0397435185,45881.9302056307
421,No,No,895.2298096146,48512.4556411759
422,No,Yes,954.0304336886,21908.5271562436
423,No,No,947.6349327409,46813.5163080957
424,No,No,267.303727744,23117.9286733782
425,No,Yes,1366.8057832287,23913.2088013083
426,No,No,624.7318835093,38325.1737553638
427,No,No,13.6793826697,25221.6376687793
428,No,No,785.8664856501,44778.0157756766
429,No,Yes,1353.0938456951,18933.4961949702
430,No,No,480.3212639148,25553.2628515188
431,No,No,0,29507.3132469218
432,No,Yes,1221.971242906,17916.8560894888
433,No,Yes,1184.9365230235,25108.756711813
434,No,Yes,478.5720556048,27512.3448997584
435,No,No,221.6904618934,34786.1013515581
436,No,No,578.3876216877,41054.1386619277
437,No,Yes,1361.4584324067,19576.9571319919
438,No,Yes,977.8480956028,19731.9609897188
439,No,No,1184.4252448815,36887.439966855
440,Yes,Yes,1118.7010394308,21848.4429000063
441,Yes,No,1119.0972447607,37224.5678135129
442,No,No,776.3499793074,31329.4848506225
443,No,No,1322.2970910844,51792.4023687088
444,No,No,878.0264575919,27438.585115052
445,No,No,1268.3795146773,16921.1808790391
446,No,No,0,32611.3730692625
447,No,No,0,37262.5740938171
448,No,Yes,366.7869573141,25833.0630989749
449,No,No,747.5610363779,39898.7690858912
450,No,No,1787.285143726,37499.0935479677
451,No,Yes,1929.4469802585,14995.4921684901
452,No,No,987.142890957,27961.3196085338
453,No,Yes,856.3573684205,20758.2146891725
454,No,No,1101.1497070941,18153.8443165945
455,No,No,704.1845199807,31515.9816788054
456,No,No,555.6234366761,40837.7316360849
457,No,No,1073.4982605984,44764.1105476201
458,No,No,1126.2230230127,32842.6523719603
459,No,Yes,649.7733185642,15708.2963812027
460,No,No,977.6576209973,43743.4967298485
461,No,No,1049.8899642061,42637.5110638279
462,No,Yes,1383.5663330639,15764.345875927
463,No,Yes,1095.4657395796,14065.1675680038
464,No,No,1089.3717909992,30224.5961304622
465,No,No,605.2209683061,21792.3215199717
466,No,No,1033.8853990167,49262.0453292257
467,No,No,1604.7205537548,38186.9850695393
468,No,No,826.3270259393,24679.715044052
469,No,Yes,1176.1468232851,16670.6807862768
470,No,Yes,1275.0231993874,19937.0980337404
471,No,Yes,1290.2831400564,23538.9441422913
472,No,No,1133.4741993193,51414.4959558752
473,No,No,837.4125668553,37400.4928845624
474,No,Yes,379.0821666884,18280.3670338005
475,No,Yes,1134.166278498,12453.3635924034
476,No,No,0,39120.0847898987
477,No,No,1491.1748028047,59394.3830781267
478,No,Yes,1695.3595856563,9582.9418971221
479,No,No,705.5733276387,54589.2398684094
480,No,No,239.1933662657,33743.2265524886
481,No,Yes,1183.7106414278,12428.6145139245
482,No,No,898.7618389121,38267.08157841
483,No,Yes,1524.2904004493,11719.5934790985
484,No,No,777.023737418,35115.0185512798
485,No,No,1394.7958191953,26074.9343643672
486,No,Yes,0,20476.1557245306
487,No,No,62.5715751602,47946.7670938155
488,Yes,No,1981.4518153844,28127.8954733126
489,No,No,514.0540347778,50053.261925801
490,No,No,722.7880389588,53714.186065152
491,No,No,152.8663041566,33716.8640608001
492,No,No,293.1847728536,35390.2875967122
493,No,No,0,38613.6204965308
494,No,Yes,645.3668572291,17878.3643114477
495,No,Yes,1515.1528330505,26046.7720831097
496,No,Yes,767.4395054818,18846.4892212338
497,No,Yes,491.8797470534,21715.226298099
498,No,No,0,41389.4352722328
499,No,No,0,34589.4880601879
500,No,No,509.155164106,40132.6592071943
501,No,Yes,965.5873700855,16440.0996975194
502,No,Yes,1868.5400723075,20489.5981077627
503,No,No,403.4972058042,41803.7781625719
504,No,No,593.1436250688,37670.9350241925
505,No,No,0,44547.8655465918
506,No,No,742.2900158845,39367.1933081303
507,No,Yes,1110.1004565319,13013.6105672136
508,No,No,771.5512952978,49440.4012944686
509,No,No,624.3388914976,42492.7530686959
510,No,Yes,499.9572297793,22884.9525653222
511,No,No,1088.6375203734,60650.0361323175
512,No,No,1556.4919279677,49669.6688731682
513,No,Yes,797.0843357314,23558.6830823662
514,No,No,415.9925025979,38215.6780429902
515,No,Yes,538.232681166,26833.0396297828
516,No,Yes,1181.9347023996,21086.0820079429
517,No,Yes,836.0206886271,9271.7899242311
518,No,No,104.4432150778,46928.0054911712
519,No,No,564.2094785779,53196.6230194221
520,No,Yes,804.5394021547,25091.4607662506
521,No,No,1028.9536402333,21218.3035199453
522,No,No,748.7465836677,8983.8569017719
523,No,No,66.632080735,28735.9741149412
524,No,No,452.8022288983,48034.2377125974
525,No,Yes,798.4605101137,27724.0657528508
526,No,Yes,1941.9029281417,23467.126966094
527,No,No,1446.1010119152,22996.4323020653
528,No,No,761.0640982905,61580.034125346
529,No,No,1350.1727283575,43147.4555837922
530,No,No,380.95020056,36943.3619940607
531,No,Yes,1602.849607094,15906.466797439
532,No,No,147.6101154885,37588.5626099252
533,No,No,0,36283.0801271054
534,No,Yes,733.0725123763,18818.1673820965
535,No,Yes,1082.747976268,26096.3370339348
536,No,No,779.6573003105,40804.4757033746
537,No,No,994.1587121706,65254.0757961504
538,No,No,769.1813741289,50070.7815461683
539,No,Yes,684.0985190962,4985.1691133645
540,No,No,442.5633016943,27898.4653945517
541,Yes,No,1717.0715925861,38408.8909167269
542,No,No,0,36302.528437156
543,No,No,1092.345864854,44717.0125770421
544,No,No,497.3349541158,35146.7987733695
545,No,Yes,1149.6806549945,16907.7007441301
546,Yes,No,1465.2101636433,58699.9831975197
547,No,No,565.3176041571,41789.6110016585
548,No,Yes,922.1378905024,12224.1851701983
549,No,Yes,175.5993806048,11510.0578678315
550,No,No,1024.9468188811,49675.5604190352
551,No,No,596.8854323037,54091.624759736
552,No,No,750.4104842089,53084.9074806631
553,No,Yes,790.8700274328,14183.9700258003
554,No,No,112.3278724975,42386.0485550432
555,No,Yes,738.3944873157,16093.2845506875
556,No,No,1157.8555606887,54419.8085690598
557,No,No,1213.2431492552,45149.516318112
558,No,No,1339.6262041855,41656.0028929824
559,No,No,588.3124302036,56520.9625106958
560,No,No,721.8081324998,56375.7219879443
561,No,No,680.8207189734,43843.4741174494
562,No,Yes,815.4065708735,12071.7624998357
563,No,No,1042.5071120411,37170.1090492838
564,No,Yes,663.2498681222,20454.6165493286
565,No,Yes,1478.6185450645,18026.4710989649
566,No,No,337.7567539943,33655.5724347316
567,No,Yes,1273.5507196165,23126.6361991141
568,No,No,114.179725878,49562.9892653441
569,No,No,0,52295.6009297642
570,No,Yes,1516.3176892324,26377.5934939198
571,No,Yes,898.1146731086,24164.7511007409
572,No,No,790.5905821173,48219.5944665748
573,No,No,0,29072.7214938039
574,No,No,1273.2448303306,49136.4741958684
575,No,No,1279.2004483305,36063.114108959
576,No,Yes,732.719380889,14568.7474096201
577,Yes,No,1763.5790878946,46227.0745421357
578,No,Yes,1280.4184484249,16310.9055269133
579,No,No,1529.9379953652,36912.8973015701
580,No,Yes,345.4676364764,18251.4945592886
581,No,No,197.9894037517,33723.9857591643
582,Yes,Yes,1770.9694405265,15975.5371965119
583,No,Yes,639.3719435411,17037.0547998481
584,No,No,238.8146438571,23526.7109062151
585,No,No,390.5558430767,45338.3572147741
586,No,Yes,830.171511107,19476.5875790804
587,No,Yes,1378.8760756438,21613.578470166
588,No,No,242.4034493158,37364.4230927587
589,No,No,1236.5474935522,36211.4903618167
590,No,No,1063.7749366931,34914.2752545523
591,No,No,126.9231789739,33819.1433220656
592,No,No,758.4655012616,38018.1456896637
593,No,No,908.9314586446,68758.8783988945
594,No,No,558.518342411,46297.4254108936
595,No,No,1819.2423333921,36969.5525152008
596,No,Yes,1110.6817440055,19327.5750379268
597,No,No,723.24337467,43459.0118542978
598,No,No,972.0318640315,18510.946033198
599,No,No,696.0144306496,40741.4202403335
600,No,Yes,1178.2489088753,29362.604609009
601,No,Yes,329.5585108771,19371.8120916883
602,No,Yes,792.5292384728,14546.30176771
603,No,No,1246.037757696,33691.7213091022
604,No,No,591.7607764815,41670.257382541
605,No,No,244.0811388008,24854.2498236435
606,No,No,1038.5483600604,49944.8651506496
607,No,No,679.0745867962,49488.5639815129
608,No,No,1061.415836002,40585.2216446978
609,No,Yes,1268.2406909193,11914.5782684288
610,No,Yes,955.5336858198,14736.7208791128
611,No,No,1115.8206296409,27882.8092643982
612,No,Yes,601.1632606102,22029.1935171555
613,No,No,1097.6000389451,52286.4318229537
614,No,No,1042.7830726467,45982.9663185287
615,No,Yes,1321.4430528653,8624.1106887428
616,No,No,1052.3932601621,37637.6593074495
617,No,No,687.9517010624,27604.0792714302
618,No,Yes,566.4605126264,24828.2659835652
619,No,No,769.4142240379,35071.1665353159
620,No,No,955.1353421032,26372.985815295
621,No,No,643.4095264648,28660.1401685022
622,No,No,0,42745.3020131405
623,No,No,437.6360625962,45384.0474502375
624,No,No,1278.8656416141,34673.1709932026
625,No,No,1639.3905719663,30624.7759284918
626,No,No,891.6437372658,36470.8283401861
627,No,Yes,316.4590483132,18813.9402088352
628,No,No,622.9295073872,48874.5557680461
629,No,No,107.277526759,42287.3028620524
630,No,Yes,990.543215774,12398.4906038395
631,No,No,0,45659.9957026185
632,No,No,0,33119.9553306198
633,No,No,591.2184872888,35287.8245843759
634,No,Yes,928.0600782656,21121.8448328186
635,No,No,304.5992238988,40785.9891775391
636,No,No,235.9394976868,31336.5101185978
637,No,Yes,1108.053517681,10853.2309395985
638,No,No,687.306396977,24563.7576757258
639,No,No,60.1860361263,39864.8635503901
640,No,No,0,34648.9725974223
641,No,No,272.8932571451,58730.5728615017
642,Yes,No,1531.7164593198,43930.4000955678
643,No,No,949.6086485133,47702.5737457984
644,No,No,561.9161784551,35080.5792438221
645,No,No,468.132522197,25231.3462344957
646,No,Yes,993.1081699918,12215.9468218066
647,No,No,0,31314.6950884232
